date,value
2024-01-01,0.3492839874058593
2024-01-02,0.3568191607139646
2024-01-03,0.3698983602084882
2024-01-04,0.3654818836571337
2024-01-05,0.370965862174541
2024-01-06,0.3581699163604735
2024-01-07,0.3529031520240588
2024-01-08,0.3247562447393345
2024-01-09,0.3478112393174059
2024-01-10,0.3388019329940034
2024-01-11,0.3455962369786494
2024-01-12,0.3104543413345071
2024-01-13,0.3666925145748234
2024-01-14,0.3518309035397655
2024-01-15,0.370936627148157
2024-01-16,0.3536709403803658
2024-01-17,0.3709681127499764
2024-01-18,0.3514431510576158
2024-01-19,0.3499440876716683
2024-01-20,0.3680130467317407
2024-01-21,0.3399328593290259
2024-01-22,0.3389788923322221
2024-01-23,0.5587910213209064
2024-01-24,0.556915233371679
2024-01-25,0.3434555952814292
2024-01-26,0.3526547815643942
2024-01-27,0.3803366614047824
2024-01-28,0.3614805784279384
2024-01-29,0.3668701008025727
2024-01-30,0.36623583896327205
2024-01-31,0.36560157712397134
2024-02-01,0.3649673152846707
2024-02-02,0.3520687524703158
2024-02-03,0.3278931707371583
2024-02-04,0.3519133529448175
2024-02-05,0.3239021559877907
2024-02-06,0.3417615459508151
2024-02-07,0.3373200322227622
2024-02-08,0.5666969717912939
2024-02-09,0.3623707221488287
2024-02-10,0.3669077509154171
2024-02-11,0.3691716544565347
2024-02-12,0.3786869472686273
2024-02-13,0.36305630563818236
2024-02-14,0.3474256640077374
2024-02-15,0.3523332539959759
2024-02-16,0.3492013988266188
2024-02-17,0.3227526914289391
2024-02-18,0.3423903252683992
2024-02-19,0.348141364475132
2024-02-20,0.3450390887149334
2024-02-21,0.3691429434434486
2024-02-22,0.3599378208868687
2024-02-23,0.3659461291812741
2024-02-25,0.3606443909506411
2024-02-26,0.343100835955666
2024-02-27,0.3322431565712551
2024-02-28,0.3559905423690552
2024-02-29,0.3274149153916724
2024-03-01,0.325265602144044
2024-03-03,0.337549817843259
2024-03-04,0.3380287189013011
2024-03-05,0.374691551819989
2024-03-06,0.3733562272466137
2024-03-07,0.3581171744498317
